/ | home/marketing | real estate investor / borrower | DSCR loans for real estate investors — non-US investors qualify, and so do Airbnb and vacation rentals. | /blog/greenstreet-go-launch / Greenstreet Finance.INVESTGO / INVESTGO
/investgo | app/workspace | returning user / serious investor in underwriting workflow | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/investgo/analyze | app/workspace | returning user / serious investor in underwriting workflow | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/investgo/sensitivity | app/workspace | returning user / serious investor in underwriting workflow | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/investgo/optimize | app/workspace | returning user / serious investor in underwriting workflow | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/investgo/state | app/workspace | returning user / serious investor in underwriting workflow | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/investgo/history | app/workspace | returning user / serious investor in underwriting workflow | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/investgo/settings | app/workspace | returning user / serious investor in underwriting workflow | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/brokers | audience/landing | mortgage brokers / partner originators | One deal.We underwriteand fund it. | Greenstreet Finance. / INVESTGO / Product
/investors | audience/landing | real estate investor / borrower | Scale past the income ceiling. | Greenstreet Finance. / INVESTGO / Product
/borrower-profiles | audience/landing | real estate investor / borrower | Direct DSCR lending for every type of real estate investor. | Greenstreet Finance. / INVESTGO / Product
/non-us-investors | audience/landing | non-US investors (secondary branch) | Own U.S. property from anywhere. | Greenstreet Finance. / INVESTGO / Product
/foreign-nationals | audience/landing | non-US investors (secondary branch) | Own U.S. property from anywhere. | Greenstreet Finance. / INVESTGO / Product
/str-airbnb | audience/landing | STR operators (secondary branch) | We underwrite the slow months. | Greenstreet Finance. / INVESTGO / Product
/vacation-homes | audience/landing | hybrid vacation-home investors (secondary branch) | The getaway that pays for itself. | Greenstreet Finance. / INVESTGO / Product
/portfolio-builders | support/content | real estate investor / borrower | Blended DSCR 1.14x across 4 doors | Greenstreet Finance. / INVESTGO / Product
/partners | support/content | mortgage brokers / partner originators | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/dscr-calculator | support/content | active investor evaluating a deal | Know if yourrental coversthe loan. | Greenstreet Finance. / INVESTGO / Product
/lender-intel | support/content | active investor evaluating a deal | Which programs fit your deal? | Greenstreet Finance. / INVESTGO / Product
/state-laws | support/content | active investor evaluating a deal | Prepayment penalty rules, all fifty states. | Greenstreet Finance. / INVESTGO / Product
/deal-analyzer | support/content | real estate investor / borrower | Which programs fit your deal? | Greenstreet Finance. / INVESTGO / Product
/decision-support | support/content | real estate investor / borrower | Should you buy this deal? | Greenstreet Finance. / INVESTGO / Product
/faq | support/content | real estate investor / borrower | DSCR loan questions — answered in plain language. | Greenstreet Finance. / INVESTGO / Product
/support | support/content | real estate investor / borrower | Answers when you're mid-deal. | Greenstreet Finance. / INVESTGO / Product
/blog | blog index | researching investor / SEO visitor | Practical guides for DSCR investors. | Greenstreet Finance. / INVESTGO / Product
/case-studies | case study index | skeptical buyer seeking proof | What changed when investors ran their deals through Greenstreet. | Greenstreet Finance. / INVESTGO / Product
/about | support/content | real estate investor / borrower | The DSCR underwriting platform real estate investors trust. | Greenstreet Finance. / INVESTGO / Product
/careers | support/content | real estate investor / borrower | Build the math layer of real-estate lending. | Greenstreet Finance. / INVESTGO / Product
/legal | legal/compliance | real estate investor / borrower | Terms, privacy, and the fine print. | Greenstreet Finance. / INVESTGO / Product
/privacy-policy | legal/compliance | real estate investor / borrower | Privacy Policy. | Greenstreet Finance. / INVESTGO / Product
/terms-of-service | legal/compliance | real estate investor / borrower | Terms of Service. | Greenstreet Finance. / INVESTGO / Product
/legal/privacy-policy | legal/compliance | real estate investor / borrower | Privacy Policy. | Greenstreet Finance. / INVESTGO / Product
/legal/terms-of-service | legal/compliance | real estate investor / borrower | Terms of Service. | Greenstreet Finance. / INVESTGO / Product
/rate-quiz | lead capture / quiz | real estate investor / borrower | Find the right DSCR program for your deal. | Greenstreet Finance. / INVESTGO / Product
/products | product/landing | real estate investor / borrower | The DSCR Engine | Greenstreet Finance. / INVESTGO / Product
/products/platform | product/landing | real estate investor / borrower | One system. Every DSCR workflow. | Greenstreet Finance. / INVESTGO / Product
/solutions | audience/landing | real estate investor / borrower | Built for real estate investors. | Greenstreet Finance. / INVESTGO / Product
/book-demo | lead capture / quiz | real estate investor / borrower | Find the right DSCR program for your deal. | Greenstreet Finance. / INVESTGO / Product
/partnerships | support/content | mortgage brokers / partner originators | INVESTGO | Greenstreet Finance. / INVESTGO / Product
/tools/refi-tracker | tool/calculator | active investor evaluating a deal | Should you refi this DSCR loan yet? | Greenstreet Finance. / INVESTGO / Product
/tools/arm-reset | tool/calculator | active investor evaluating a deal | What happens whenthe fixed period ends? | Greenstreet Finance. / INVESTGO / Product
/tools/monte-carlo | tool/calculator | active investor evaluating a deal | Stress-test the deal over 500 futures. | Greenstreet Finance. / INVESTGO / Product
/tools/returns | tool/calculator | active investor evaluating a deal | What will this investment actually earn? | Greenstreet Finance. / INVESTGO / Product
/tools/tax-engine | tool/calculator | active investor evaluating a deal | What does this property really earn after taxes? | Greenstreet Finance. / INVESTGO / Product
/tools/stress-matrix | tool/calculator | STR operators (secondary branch) | See every stress scenario in one view. | Greenstreet Finance. / INVESTGO / Product
/tools/decision-support | tool/calculator | active investor evaluating a deal | Should you buy this deal? | Greenstreet Finance. / INVESTGO / Product
